vintage,code,loans,defaulted_first,censored_earlier,censored_at_exit
1999Q1,16,608,582,18,8
1999Q1,96,1344,638,1,705
1999Q2,16,476,457,18,1
1999Q2,96,902,530,1,371
1999Q3,16,306,296,9,1
1999Q3,96,755,497,1,257
1999Q4,16,278,266,8,4
1999Q4,96,801,532,1,268
2000Q1,16,149,142,5,2
2000Q1,96,628,349,0,279
2000Q2,16,226,219,6,1
2000Q2,96,812,530,4,278
2000Q3,16,283,273,7,3
2000Q3,96,924,606,2,316
2000Q4,16,340,317,17,6
2000Q4,96,1033,858,2,173
2001Q1,16,577,555,19,3
2001Q1,96,1173,882,0,291
2001Q2,16,994,962,24,8
2001Q2,96,1842,1410,1,431
2001Q3,16,1009,959,34,16
2001Q3,96,1941,1479,2,460
2001Q4,16,1608,1539,60,9
2001Q4,96,2314,1540,1,773
2002Q1,16,1435,1371,53,11
2002Q1,96,2081,1459,0,622
2002Q2,16,1408,1339,47,22
2002Q2,96,2009,1455,1,553
2002Q3,16,1875,1790,67,18
2002Q3,96,1521,923,1,597
2002Q4,16,2303,2191,99,13
2002Q4,96,2271,621,2,1648
2003Q1,16,2211,2081,115,15
2003Q1,96,915,348,4,563
2003Q2,16,3688,3487,170,31
2003Q2,96,898,430,3,465
2003Q3,16,5011,4731,235,45
2003Q3,96,1146,524,3,619
2003Q4,16,2952,2777,155,20
2003Q4,96,840,376,1,463
2004Q1,16,3157,2962,166,29
2004Q1,96,707,373,3,331
2004Q2,16,3624,3403,194,27
2004Q2,96,733,397,3,333
2004Q3,16,2797,2636,145,16
2004Q3,96,515,320,1,194
2004Q4,16,3624,3405,192,27
2004Q4,96,535,349,2,184
2005Q1,16,3989,3727,233,29
2005Q1,96,600,371,4,225
2005Q2,16,4979,4675,274,30
2005Q2,96,970,538,4,428
2005Q3,16,7507,7020,449,38
2005Q3,96,1053,775,9,269
2005Q4,16,6503,6073,399,31
2005Q4,96,994,734,12,248
2006Q1,16,5855,5499,328,28
2006Q1,96,973,737,6,230
2006Q2,16,5680,5298,343,39
2006Q2,96,1206,985,15,206
2006Q3,16,5445,5094,313,38
2006Q3,96,1441,1196,20,225
2006Q4,16,6560,6107,399,54
2006Q4,96,2219,1718,34,467
2007Q1,16,6535,6058,432,45
2007Q1,96,2287,1868,23,396
2007Q2,16,8134,7583,490,61
2007Q2,96,3405,2890,42,473
2007Q3,16,6195,5750,402,43
2007Q3,96,3320,2896,42,382
2007Q4,16,7065,6597,429,39
2007Q4,96,3775,3239,44,492
2008Q1,16,7457,6956,455,46
2008Q1,96,3842,3285,68,489
2008Q2,16,5214,4827,349,38
2008Q2,96,3430,2864,71,495
2008Q3,16,3030,2816,183,31
2008Q3,96,1759,1486,36,237
2008Q4,16,1898,1754,123,21
2008Q4,96,1252,973,33,246
2009Q1,16,1331,1215,95,21
2009Q1,96,889,550,9,330
2009Q2,16,1860,1675,155,30
2009Q2,96,1494,622,14,858
2009Q3,16,1931,1754,156,21
2009Q3,96,2241,484,12,1745
2009Q4,16,1992,1788,183,21
2009Q4,96,1256,326,2,928
2010Q1,16,1866,1659,176,31
2010Q1,96,919,271,1,647
2010Q2,16,1753,1558,172,23
2010Q2,96,651,221,2,428
2010Q3,16,1827,1617,187,23
2010Q3,96,711,171,1,539
2010Q4,16,2001,1744,227,30
2010Q4,96,959,181,1,777
2011Q1,16,1647,1451,164,32
2011Q1,96,769,95,0,674
2011Q2,16,1432,1273,132,27
2011Q2,96,574,70,1,503
2011Q3,16,1438,1246,163,29
2011Q3,96,647,54,1,592
2011Q4,16,1295,1116,150,29
2011Q4,96,1105,67,0,1038
2012Q1,16,1510,1276,195,39
2012Q1,96,924,50,2,872
2012Q2,16,2425,2012,356,57
2012Q2,96,944,79,3,862
2012Q3,16,1953,1602,293,58
2012Q3,96,895,108,5,782
2012Q4,16,2058,1702,283,73
2012Q4,96,797,77,3,717
2013Q1,16,2181,1735,336,110
2013Q1,96,737,88,0,649
2013Q2,16,2187,1745,316,126
2013Q2,96,822,94,6,722
2013Q3,16,1860,1534,229,97
2013Q3,96,628,77,2,549
2013Q4,16,1478,1203,198,77
2013Q4,96,551,52,4,495
2014Q1,16,970,782,122,66
2014Q1,96,432,48,2,382
2014Q2,16,912,726,135,51
2014Q2,96,452,43,3,406
2014Q3,16,825,679,93,53
2014Q3,96,416,40,4,372
2014Q4,16,745,588,99,58
2014Q4,96,373,47,2,324
2015Q1,16,649,501,111,37
2015Q1,96,302,29,3,270
2015Q2,16,677,501,128,48
2015Q2,96,348,46,8,294
2015Q3,16,674,509,127,38
2015Q3,96,405,56,6,343
2015Q4,16,589,448,104,37
2015Q4,96,444,55,9,380
2016Q1,16,557,401,107,49
2016Q1,96,390,37,6,347
2016Q2,16,631,440,145,46
2016Q2,96,580,74,12,494
2016Q3,16,607,422,151,34
2016Q3,96,543,75,17,451
2016Q4,16,864,516,315,33
2016Q4,96,649,83,17,549
2017Q1,16,720,439,253,28
2017Q1,96,615,82,17,516
2017Q2,16,782,477,281,24
2017Q2,96,737,118,28,591
2017Q3,16,727,461,237,29
2017Q3,96,780,129,54,597
2017Q4,16,420,303,97,20
2017Q4,96,802,118,33,651
2018Q1,16,287,211,66,10
2018Q1,96,643,124,26,493
2018Q2,16,333,253,69,11
2018Q2,96,875,139,60,676
2018Q3,16,334,255,68,11
2018Q3,96,811,146,41,624
2018Q4,16,313,226,74,13
2018Q4,96,805,121,35,649
2019Q1,16,241,170,54,17
2019Q1,96,801,79,42,680
2019Q2,16,264,147,97,20
2019Q2,96,1078,152,46,880
2019Q3,16,499,296,184,19
2019Q3,96,1184,132,59,993
2019Q4,16,548,276,243,29
2019Q4,96,1268,138,45,1085
2020Q1,16,428,220,157,51
2020Q1,96,2027,143,33,1851
2020Q2,16,241,154,76,11
2020Q2,96,1851,100,23,1728
2020Q3,16,214,131,60,23
2020Q3,96,2109,152,31,1926
2020Q4,16,167,112,40,15
2020Q4,96,2265,188,21,2056
2021Q1,16,159,109,32,18
2021Q1,96,2196,198,17,1981
2021Q2,16,254,175,60,19
2021Q2,96,2438,278,20,2140
2021Q3,16,249,195,41,13
2021Q3,96,2603,336,33,2234
2021Q4,16,225,182,34,9
2021Q4,96,2368,308,19,2041
2022Q1,16,150,128,20,2
2022Q1,96,1891,219,18,1654
2022Q2,16,122,108,12,2
2022Q2,96,2001,274,10,1717
2022Q3,16,78,71,6,1
2022Q3,96,1805,267,7,1531
2022Q4,16,26,23,3,0
2022Q4,96,1309,184,1,1124
2023Q1,16,14,13,0,1
2023Q1,96,879,137,1,741
2023Q2,16,9,9,0,0
2023Q2,96,896,170,0,726
2023Q3,16,5,5,0,0
2023Q3,96,991,163,0,828
2023Q4,16,5,5,0,0
2023Q4,96,862,113,0,749
2024Q1,16,1,1,0,0
2024Q1,96,884,87,0,797
2024Q2,16,1,1,0,0
2024Q2,96,1041,131,0,910
2024Q3,96,978,112,0,866
2024Q4,96,811,49,0,762
2025Q1,96,590,13,0,577
2025Q2,96,525,13,0,512
2025Q3,96,300,0,0,300
2025Q4,96,43,0,0,43
2026Q1,96,2,0,0,2
