vintage,loans,dropped,no_credit_score,no_orig_ltv,no_dti,no_purpose,no_occupancy,no_term_years,no_has_mi,no_first_time_buyer,default_rate_kept,default_rate_dropped,dropped_share,relative_risk
1999Q1,486626,27251,1642,38,25565,23,0,0,44,6043,0.02905687074829932,0.030347510183112547,0.05599988492189073,1.0444177023050139
1999Q2,337374,14166,2504,36,11658,21,0,0,27,2591,0.03291069527981981,0.036989975998870536,0.041989009230112576,1.1239500011885821
1999Q3,222195,10190,1982,11,8169,7,0,0,16,1484,0.034956722718803804,0.04985279685966634,0.045860617925695894,1.4261290241848013
1999Q4,171496,8018,1756,4,6236,0,0,0,20,1033,0.0387513916245611,0.0538787727612871,0.04675327704436255,1.390370010018894
2000Q1,117437,4505,1153,9,3350,0,0,0,11,788,0.035764885063578084,0.039289678135405105,0.03836099355399065,1.0985545756839736
2000Q2,183723,9684,5529,17,4155,0,0,0,24,636,0.032923655042835225,0.03717472118959108,0.05270978592772815,1.1291189007181923
2000Q3,209449,5759,1770,5,3967,0,0,0,27,215,0.03327114733172959,0.04115297794756034,0.02749595366891224,1.236896868546343
2000Q4,235758,6664,1985,10,4651,0,0,0,39,193,0.037312194994194525,0.04441776710684274,0.028266273042696324,1.19043565016086
2001Q1,402946,9944,2368,15,7557,0,0,0,46,74,0.03046294929796795,0.033286403861625104,0.02467824472758136,1.0926848722374198
2001Q2,628471,13454,3790,21,9627,0,0,0,60,102,0.030163393857405567,0.03478519399435112,0.021407511245546733,1.1532254678898088
2001Q3,543920,15823,2965,17,12801,0,0,0,44,108,0.03332721072075774,0.05119130379826834,0.029090675099279307,1.536021247838302
2001Q4,921709,29991,3689,39,26235,0,0,0,34,124,0.027029845758412413,0.043946517288519886,0.032538469299963436,1.6258515746373636
2002Q1,643975,14467,2682,32,11748,0,0,0,26,76,0.03200912458618477,0.03456141563558443,0.022465157808921155,1.079736359003746
2002Q2,475638,11009,2544,30,8427,0,0,0,15,82,0.0424962712185421,0.04514488146062313,0.02314575370344674,1.0623257092007021
2002Q3,794568,21996,3448,33,18596,0,0,0,20,67,0.030179711405538902,0.02973267866884888,0.027682967348294923,0.9851876404421821
2002Q4,1078490,47238,22934,69,24355,0,0,0,23,78,0.028428550926446687,0.02692747364410009,0.043800127956680174,0.947198248471041
2003Q1,922449,16301,637,56,15539,0,0,0,25,81,0.03071462939828814,0.03459910434942642,0.017671437662136334,1.1264698623176217
2003Q2,1216821,18317,841,124,17240,0,0,0,36,147,0.033246447237556154,0.03526778402576841,0.015053159010240619,1.0607985801841977
2003Q3,1287082,28727,873,296,27425,0,0,0,53,167,0.0393744213675791,0.03557628711664984,0.02231947925617793,0.9035380300456519
2003Q4,478046,9840,520,131,9142,0,0,0,7,84,0.06003767572393348,0.056504065040650406,0.020583793191450196,0.9411434463330759
2004Q1,494531,10141,507,60,9514,0,0,0,11,140,0.05922294019281984,0.06656148308845282,0.020506297886280132,1.1239138562141617
2004Q2,525062,10190,454,40,9585,0,0,0,14,311,0.05988478689849128,0.0647693817468106,0.019407231907850882,1.0815665397056358
2004Q3,313542,6296,333,18,5876,0,0,0,10,96,0.07358924119435241,0.08020965692503176,0.02008024443296273,1.0899644516403497
2004Q4,344060,6328,267,18,5980,0,0,0,5,77,0.08535465990785593,0.08486093552465233,0.01839214090565599,0.9942156130229258
2005Q1,338335,10901,273,20,10575,0,0,0,2,59,0.09334094809946432,0.08806531510870562,0.032219545716523565,0.94347997210038
2005Q2,387864,11092,299,31,10704,0,0,0,6,75,0.10110093106706443,0.10142445005409303,0.028597652785512448,1.003199960510888
2005Q3,508338,18434,388,30,17944,0,0,0,2,86,0.11246693229693981,0.09477053271129435,0.03626327364863536,0.8426524203672355
2005Q4,376906,12782,282,28,12420,0,0,0,0,74,0.1276350913425097,0.12181192301674229,0.033912965036375115,0.9543764315556379
2006Q1,298572,8578,244,33,8240,0,0,0,1,74,0.13978909908480866,0.1492189321520168,0.02873008855485444,1.0674575709332466
2006Q2,308208,7238,182,22,6972,0,0,0,0,91,0.13217928697212347,0.13346228239845262,0.02348414058038727,1.0097064786451733
2006Q3,283973,5650,261,18,5302,0,1,0,0,115,0.1370565853343058,0.13008849557522123,0.01989625774281358,0.949159029884714
2006Q4,302782,5495,279,29,5132,0,0,0,0,96,0.15213245113308016,0.14449499545040947,0.018148370775013047,0.9497973270936804
2007Q1,302326,5826,215,30,5517,0,0,0,0,126,0.15288026981450253,0.16048746996223826,0.019270588702261796,1.0497592014781627
2007Q2,354053,7921,299,41,7504,0,0,0,0,117,0.16118417251222078,0.1658881454361823,0.022372356681061877,1.0291838389008379
2007Q3,284977,7625,259,15,7294,0,0,0,1,86,0.16082811733825608,0.15934426229508197,0.02675654526505648,0.9907736590607894
2007Q4,296824,9059,271,34,8698,0,0,0,0,83,0.16589578301739266,0.19163263053317142,0.03051976929089292,1.1551386481781787
2008Q1,421630,11044,183,27,10784,0,0,0,3,58,0.11876440015002947,0.14469395146685984,0.026193582050613097,1.2183276409772188
2008Q2,370978,9026,228,18,8714,0,0,0,0,84,0.09948556714702501,0.11644139153556393,0.024330283736501895,1.1704350176089433
2008Q3,221750,4638,214,6,4356,0,0,0,1,96,0.08825398872471352,0.10241483398016386,0.02091544532130778,1.1604555834821426
2008Q4,218775,3442,234,9,3155,0,0,0,0,72,0.06286077842225762,0.08134805345729228,0.015733059078962403,1.2940987289538355
2009Q1,621541,3226,45,15,3145,0,0,0,5,16,0.02167180158980455,0.04215747055176689,0.005190325336542561,1.9452683883743094
2009Q2,716662,56611,42,34,56460,0,0,0,7,69,0.018865208900524354,0.07510907774107506,0.07899260739372256,3.9813541497007976
2009Q3,443064,61473,17,13,61296,0,0,0,1,149,0.02411220390418013,0.0940250191140826,0.13874519256811657,3.899478433731322
2009Q4,445753,95032,11,9,94981,0,0,0,3,29,0.022023203629095493,0.06398897213570166,0.21319430267435105,2.9055251548945393
2010Q1,360856,98919,11,8,98876,0,0,0,4,21,0.021768593211344712,0.06420404573438875,0.2741231959562817,2.949388833309117
2010Q2,363854,88136,13,9,88109,0,0,0,1,5,0.020256203802435823,0.06247163474630117,0.2422290259279821,3.084074160963414
2010Q3,503408,159345,12,7,158995,0,0,0,0,331,0.0139741849603125,0.042166368571338916,0.3165325143819725,3.0174474354743306
2010Q4,592072,203544,6,7,202963,0,0,0,1,568,0.01195023267306346,0.03628699445820068,0.3437825129376157,3.0365094514012045
2011Q1,332606,123387,3,4,123321,0,0,0,2,58,0.015175485974027215,0.04810069132080365,0.3709704575383487,3.169631035416447
2011Q2,266598,75683,4,6,75039,0,0,0,1,634,0.016394730639289735,0.05505859968553044,0.2838843502201817,3.3583107217134325
