period,loan_months,defaults,rate_bp
1999-01,173,0,0.0
1999-02,50951,1,0.19626700162901609
1999-03,172744,0,0.0
1999-04,341909,1,0.02924754832426172
1999-05,508472,12,0.23600119573939174
1999-06,625979,36,0.5750991646684633
1999-07,694492,50,0.7199506977762163
1999-08,786862,70,0.8896096138840102
1999-09,856922,75,0.8752255164414031
1999-10,913091,114,1.2485064467835079
1999-11,957850,167,1.7434880200448921
1999-12,989666,207,2.0916147467933626
2000-01,1061028,249,2.3467806693131568
2000-02,1090850,266,2.4384654168767477
2000-03,1120770,245,2.1859971269752045
2000-04,1157167,259,2.2382249061717108
2000-05,1213744,280,2.3069115068745965
2000-06,1249013,343,2.7461683745485437
2000-07,1293236,384,2.9692956274028868
2000-08,1374987,435,3.1636662746629605
2000-09,1425986,511,3.583485391862192
2000-10,1497502,567,3.7863054606938755
2000-11,1563063,718,4.593544853918236
2000-12,1623439,821,5.0571656834657785
2001-01,1718138,869,5.0578009449764805
2001-02,1780623,946,5.312747280025024
2001-03,1844921,903,4.89451851867912
2001-04,1996100,978,4.8995541305545816
2001-05,2151381,1014,4.713251627675433
2001-06,2277949,1208,5.303016002553174
2001-07,2479995,1272,5.129042598876207
2001-08,2595944,1378,5.308280918232442
2001-09,2771194,1643,5.928852328635238
2001-10,2908363,1672,5.748938492203346
2001-11,3074650,1783,5.799034036394386
2001-12,3300404,1956,5.926547174224732
2002-01,3495175,2064,5.905283712546582
2002-02,3681970,1873,5.0869507356116435
2002-03,3849358,1865,4.844963757592825
2002-04,4001238,1715,4.286173429323624
2002-05,4116098,1752,4.256458422515693
2002-06,4229223,1922,4.544570007303943
2002-07,4337863,2126,4.901030760999137
2002-08,4420868,2331,5.272720198838781
2002-09,4601364,2573,5.5918201646294445
2002-10,4787413,2794,5.8361373877708065
2002-11,4963447,2928,5.89912615164421
2002-12,5127203,3368,6.5688836584001065
2003-01,5226975,3445,6.590810172231549
2003-02,5333944,3248,6.089302774832282
2003-03,5459557,3030,5.549900843603245
2003-04,5568559,2746,4.931257799369639
2003-05,5651578,2825,4.9986039297343146
2003-06,5796727,2921,5.039050484868444
2003-07,5965675,2832,4.7471576979972925
2003-08,6120021,3130,5.11436153568754
2003-09,6283437,3011,4.7919633792779335
2003-10,6405897,3109,4.8533406016362735
2003-11,6491332,3155,4.8603275876199215
2003-12,6547405,3072,4.691935201808961
2004-01,6611410,3218,4.867342972225289
2004-02,6663069,2873,4.311826877374376
2004-03,6727904,2415,3.589528031315548
2004-04,6788390,2361,3.477996991922974
2004-05,6831727,2489,3.64329546540721
2004-06,6878743,2635,3.8306417320722694
2004-07,6903273,2791,4.043009743349278
2004-08,6919543,2670,3.858636329017682
2004-09,6942468,3043,4.3831674845314375
2004-10,6963423,3197,4.591132837973508
2004-11,6983747,3404,4.8741742792228875
2004-12,7002978,3369,4.810810486624405
2005-01,7025504,2911,4.143474973468096
2005-02,7049076,3025,4.29134258163765
2005-03,7079174,2446,3.4552053671798433
2005-04,7121568,2387,3.3517899428889817
2005-05,7149930,2439,3.411222207769866
2005-06,7184989,2636,3.6687599660904144
2005-07,7211077,2845,3.945319125007263
2005-08,7265203,2909,4.004017506461967
2005-09,7314078,3021,4.130390734143114
2005-10,7365148,3404,4.621767274737724
2005-11,7414540,8263,11.144319135104807
2005-12,7448513,5873,7.884795260476822
2006-01,7489252,4156,5.54928582987994
2006-02,7525327,3220,4.278883827905418
2006-03,7560708,2510,3.319794918676928
2006-04,7587987,2519,3.3197210274609064
2006-05,7615819,2427,3.186787921299075
2006-06,7639376,2762,3.6154785417028825
2006-07,7672403,2847,3.71070184921204
2006-08,7704124,2962,3.8446940885167478
2006-09,7732147,3214,4.156672137764582
2006-10,7756679,3412,4.398789739784256
2006-11,7790103,3471,4.455653538855648
2006-12,7821972,3847,4.918197099145842
2007-01,7868296,3593,4.5664270891689895
2007-02,7893370,3522,4.461972516174967
2007-03,7945629,3030,3.8134174147823914
2007-04,7987243,2982,3.7334534582208154
2007-05,8028830,3198,3.9831457385447195
2007-06,8064735,3593,4.455199085896809
2007-07,8092606,3802,4.698115786188033
2007-08,8133553,4167,5.123222286742338
2007-09,8159423,4894,5.9979731409929355
2007-10,8210546,5111,6.2249209735868964
2007-11,8256873,6117,7.408373605843278
2007-12,8289031,6221,7.505099208821876
2008-01,8332161,6539,7.847904043140789
2008-02,8391533,6040,7.197731332284579
2008-03,8452358,5515,6.524806450460333
2008-04,8502138,5883,6.919436028914139
2008-05,8584463,6098,7.103531111963555
2008-06,8633461,6991,8.097563653788441
2008-07,8662574,7461,8.61291343658363
2008-08,8683308,8579,9.879875273340527
2008-09,8701006,9980,11.469938073827326
2008-10,8713912,10820,12.416925945545469
2008-11,8723637,13543,15.524488238105278
2008-12,8724604,15228,17.45408731445003
2009-01,8746709,17098,19.547923681924253
2009-02,8783646,16776,19.099130361127944
2009-03,8830399,15164,17.17249696191531
2009-04,8881459,16029,18.047710404337845
2009-05,8923826,16273,18.235451923872112
2009-06,8956787,16514,18.43741511325434
2009-07,8952733,17757,19.834166840449726
2009-08,8983403,19032,21.1857355169305
2009-09,8989441,20503,22.80786981081471
2009-10,8988961,21871,24.330954378375875
2009-11,8983332,22557,25.109836750996177
2009-12,8969794,21128,23.554610061279
2010-01,8936381,22439,25.10971723340802
2010-02,8911691,20383,22.872202368776026
2010-03,8898088,16309,18.328656673208897
2010-04,8864946,14569,16.434392268153694
2010-05,8839585,14150,16.00753881545344
2010-06,8840191,15029,17.000763897522123
2010-07,8812520,13738,15.589184478446574
2010-08,8771600,14052,16.019882347576267
2010-09,8703374,14264,16.389046362939247
2010-10,8620350,14307,16.596773912892168
2010-11,8545389,13507,15.806185066589713
2010-12,8448989,12932,15.305973294556308
2011-01,8370292,12714,15.18943425151715
2011-02,8308634,11965,14.40068247078882
2011-03,8257758,10189,12.338700165347545
2011-04,8216985,10033,12.210074619827102
2011-05,8184856,9834,12.014872344730318
2011-06,8157540,9915,12.154399488080966
2011-07,8125328,10520,12.947169640413286
2011-08,8096800,10718,13.237328327240391
2011-09,8052293,10814,13.42971498925834
2011-10,7996513,11210,14.018610361791447
2011-11,7928063,11156,14.07153298352952
2011-12,7826447,10839,13.84919619336846
2012-01,7764276,10192,13.126787352742227
2012-02,7709256,9019,11.698923994740866
2012-03,7624900,8381,10.991619562223766
2012-04,7528239,8289,11.010543103108178
2012-05,7454151,7603,10.199686054119375
2012-06,7377852,8005,10.8500414483782
2012-07,7299360,7862,10.770807303654019
2012-08,7228557,7709,10.66464579306769
2012-09,7151952,8288,11.588444665176723
2012-10,7113608,7872,11.066114410577587
2012-11,7059281,7780,11.020952417108768
2012-12,6983918,7649,10.952304995562663
2013-01,6940168,7179,10.344129998005812
2013-02,6899837,6381,9.248044555255436
2013-03,6866504,5756,8.382722852852048
2013-04,6823261,5139,7.5315893676059
2013-05,6781520,4806,7.086906770163622
2013-06,6763672,5234,7.738400087999536
2013-07,6745100,4830,7.160753732339032
2013-08,6697839,4824,7.202323017916674
2013-09,6669456,4913,7.366417890754509
2013-10,6649156,4720,7.098645301749576
2013-11,6635981,4882,7.356862534717926
2013-12,6637581,4642,6.993511642268471
2014-01,6641559,4510,6.790574321480845
2014-02,6631057,4087,6.163421608349921
2014-03,6625937,3494,5.273216452254224
2014-04,6630072,3572,5.387573468282095
2014-05,6630931,3459,5.216462062416274
2014-06,6639090,3592,5.410380037023145
2014-07,6655721,3607,5.41939783834088
2014-08,6688794,3686,5.510709404415803
2014-09,6723485,3566,5.303797063576404
2014-10,6747110,3409,5.0525336032760695
2014-11,6759007,3657,5.4105580893761465
2014-12,6775398,3616,5.336955851154427
2015-01,6782526,3292,4.853648920770816
2015-02,6823542,2931,4.295423110167711
2015-03,6843821,2588,3.7815132803736393
2015-04,6868897,2582,3.758973238352533
2015-05,6916902,2507,3.624454994446936
2015-06,6953632,2641,3.7980151955122157
2015-07,7009067,2503,3.5710887055295664
2015-08,7035145,2673,3.799495248498787
2015-09,7062729,2775,3.929076140398421
2015-10,7090060,2751,3.8800799993229957
2015-11,7118725,2775,3.898169967234301
2015-12,7144435,2713,3.7973611629191115
2016-01,7165510,2744,3.829455265570769
2016-02,7189321,2439,3.3925317842950675
2016-03,7212146,2129,2.951964644087904
2016-04,7237488,2097,2.8974141304275736
2016-05,7272865,2184,3.0029431317644426
2016-06,7306865,2186,2.9917071137895666
2016-07,7350584,2356,3.205187506189984
2016-08,7400914,2333,3.152313349405222
2016-09,7437980,2406,3.2347492195461673
2016-10,7471954,2530,3.38599514932774
2016-11,7517470,2718,3.615578113381231
2016-12,7535652,2570,3.4104547290665757
2017-01,7607223,2576,3.3862554048961098
2017-02,7633502,2501,3.2763468195855587
2017-03,7656399,2053,2.6814172040929423
2017-04,7678919,2137,2.7829437971672832
2017-05,7702044,1955,2.538287239075757
2017-06,7728367,2243,2.902294883252827
2017-07,7760583,2186,2.81679868638735
2017-08,7794916,2253,2.8903454508040882
2017-09,7835675,2362,3.0144180303547556
2017-10,7888234,2346,2.9740497049149406
2017-11,7938014,2965,3.735191195178038
2017-12,7974282,4745,5.950378980828619
2018-01,7996023,3684,4.607290399239722
2018-02,8004110,3154,3.9404755806704306
2018-03,8027340,3064,3.8169555543928624
2018-04,8064868,2846,3.528886027644842
2018-05,8103711,2380,2.936926057703687
2018-06,8136470,2536,3.1168307632179557
2018-07,8170181,2364,2.893448749789019
2018-08,8195417,2299,2.8052263844536527
2018-09,8225746,2482,3.017355507938125
2018-10,8265704,2454,2.968894119605541
2018-11,8317529,2429,2.9203384803347245
2018-12,8352404,2712,3.2469693755235016
2019-01,8379738,2569,3.0657283079733517
2019-02,8407879,2459,2.9246377118414766
2019-03,8481116,2372,2.796801741657584
2019-04,8539143,2349,2.7508615325917365
2019-05,8584381,2292,2.669965370828718
2019-06,8629270,2526,2.9272464530603397
2019-07,8703424,2593,2.9792872322433106
2019-08,8754243,2678,3.059088033082929
2019-09,8804654,2655,3.015450692327035
2019-10,8857981,2681,3.026649074998016
2019-11,8929587,2648,2.965422700960302
2019-12,8982598,2796,3.112685216459648
2020-01,9038477,2857,3.1609307630035457
2020-02,9079947,2739,3.0165374313308218
2020-03,9129485,2554,2.797529104872838
2020-04,9191552,2102,2.2868825634669747
2020-05,9241521,1849,2.0007529063668197
2020-06,9313884,2752,2.9547286609968517
2020-07,9438493,2767,2.9316120698505577
2020-08,9556682,2503,2.6191098542360205
2020-09,9692342,3112,3.2107822856436554
2020-10,9842236,2660,2.7026378965105082
2020-11,10001829,3735,3.734316993421903
2020-12,10142346,2860,2.81986041493753
2021-01,10275489,2869,2.7920812333116216
2021-02,10423062,3024,2.9012587663778646
2021-03,10564631,2506,2.3720658109119004
2021-04,10695158,2543,2.377711484019217
2021-05,10778278,2376,2.2044337694759775
2021-06,10864085,2312,2.1281129519881334
2021-07,10996645,2609,2.372541807069338
2021-08,11126839,2473,2.2225539526544784
2021-09,11271500,3035,2.6926318591136935
2021-10,11403960,4152,3.640840550124693
2021-11,11522607,4180,3.6276512771805893
2021-12,11621630,4253,3.659555501250685
2022-01,11704313,4521,3.8626786552957015
2022-02,11768948,4317,3.668127346641348
2022-03,11829345,3447,2.913939867338386
2022-04,11887999,3229,2.716184616098975
2022-05,11931094,3194,2.6770386688764667
2022-06,11963584,3124,2.611257629820629
2022-07,12011105,3003,2.5001862859412185
2022-08,12046873,2571,2.1341637784344534
2022-09,12077167,2587,2.1420586467008365
2022-10,12097818,2888,2.387207345985863
2022-11,12116732,2965,2.4470294465537408
2022-12,12131292,3403,2.805142271738245
2023-01,12145328,3356,2.763202442947609
2023-02,12149597,3617,2.977053477576252
2023-03,12156577,3138,2.581318737996724
2023-04,12170149,3252,2.6721119026562454
2023-05,12190533,3055,2.506043008948009
2023-06,12217871,3153,2.580646006165886
2023-07,12242319,3503,2.861385984142384
