,credit_score,original_ltv,debt_to_income,term_years,ltv_change,unemployment_change,financial_conditions,mortgage_rate_decline,house_price_growth,policy_rate_change,yield_curve_slope,corporate_bond_spread,inflation_rate,equity_return,equity_volatility,consumer_sentiment,housing_starts_growth,volatility_change,inflation_change
credit_score,1.0000000000000002,-0.12176833565233819,-0.14719705095740687,-0.06623345318458418,-0.014135754926426875,-0.1224099036680381,-0.04268761165240681,-0.08454071130762171,0.014032638086250679,0.0970332655342019,-0.008710155940239845,-0.01201482384920878,-0.04292363567614127,0.06957113076813017,-0.031595978459100796,0.0052663759627982944,0.06534137932210315,-0.0665681645449901,0.04852540952058255
original_ltv,-0.12176833565233819,1.0000000000000002,0.1075304572595355,0.2803092307791057,-0.1645814712041736,-0.02128724945003526,-0.03621935250931051,-0.015279015816422107,0.03227382987574182,-0.01772336268713562,-0.048376954280314674,-0.018676480602999906,-0.03269678174996653,0.022190169246794376,-0.021571667045029778,0.06118438766121201,0.04232395422758671,0.06595469251121137,-0.022887357653009942
debt_to_income,-0.14719705095740687,0.1075304572595355,1.0000000000000002,0.14545862749566582,0.07052525479897302,0.03552401262534046,0.009323531326681886,0.022572135310365577,-0.013890326943795248,-0.049961619990184586,-0.027273869284878103,-0.0005980609256746376,-0.004946545721843315,0.010937824627026037,0.007005156505218006,-0.002378576015145564,-0.0017966282067826721,0.07508843087390711,-0.025130962603038865
term_years,-0.06623345318458418,0.2803092307791057,0.14545862749566582,1.0000000000000002,0.07649408416342479,0.017501472086252107,0.010900813325604978,0.017108519352343598,-0.02375077604744369,-0.06750646531960218,-0.036368742696156406,0.00778729183151419,-0.02020106125518973,0.02323442078626659,0.017743861281629334,-0.0026040809018574684,0.008743233917038103,0.07715976344431554,-0.004856381341309345
ltv_change,-0.014135754926426875,-0.1645814712041736,0.07052525479897302,0.07649408416342479,1.0,0.45040669893524843,0.20529782549419742,0.16048186896448888,-0.3772038055587243,-0.4793958843396872,0.44464361320064566,0.37242164227507407,-0.13584546034468561,-0.11347171108448063,0.217322277466637,-0.37171326597785537,-0.029287549989057297,0.21521315835433233,-0.20105448730412243
unemployment_change,-0.1224099036680381,-0.02128724945003526,0.03552401262534046,0.017501472086252107,0.45040669893524843,1.0,0.300139519898806,0.38871706034349685,-0.3364627105969494,-0.593687649126889,0.377801039158774,0.38902955094015745,-0.149815897218458,-0.09615956858207624,0.41908912836503803,-0.5277862508928046,-0.1904164431590389,0.3410497957627902,-0.29478894057730126
financial_conditions,-0.04268761165240681,-0.03621935250931051,0.009323531326681886,0.010900813325604978,0.20529782549419742,0.300139519898806,1.0000000000000002,-0.0009278929842001147,-0.6936035551555295,-0.22391154076700198,0.15367689745346003,0.7731694913618492,-0.12424745711806175,-0.5189230952850499,0.7491368453938412,-0.556899950998571,-0.6253178314164262,0.5329701329625678,-0.19925541743606184
mortgage_rate_decline,-0.08454071130762171,-0.015279015816422107,0.022572135310365577,0.017108519352343598,0.16048186896448888,0.38871706034349685,-0.0009278929842001147,1.0,-0.08401220130892059,-0.6560263909959941,0.3332280724241375,0.29459594761906954,-0.20418910355671413,0.0039221344258514495,0.13724320383556396,-0.2885603033535851,0.22354943273820818,-0.019947292736285017,-0.2470566893497542
house_price_growth,0.014032638086250679,0.03227382987574182,-0.013890326943795248,-0.02375077604744369,-0.3772038055587243,-0.3364627105969494,-0.6936035551555295,-0.08401220130892059,1.0000000000000002,0.19431746749678916,-0.26075482568985897,-0.591604537014096,0.25608078521111877,0.3718280496361543,-0.44916075869394395,0.5479508597745348,0.5455625936064709,-0.3152818755162806,0.26399549966601005
policy_rate_change,0.0970332655342019,-0.01772336268713562,-0.049961619990184586,-0.06750646531960218,-0.4793958843396872,-0.593687649126889,-0.22391154076700198,-0.6560263909959941,0.19431746749678916,1.0000000000000002,-0.6092976700609731,-0.5025969697127914,0.24200542294335925,0.08939242744404165,-0.35861185491319364,0.39569841740971173,-0.0762950710692691,-0.2816305250631953,0.37434496280469215
yield_curve_slope,-0.008710155940239845,-0.048376954280314674,-0.027273869284878103,-0.036368742696156406,0.44464361320064566,0.377801039158774,0.15367689745346003,0.3332280724241375,-0.26075482568985897,-0.6092976700609731,1.0000000000000002,0.4749026312135541,-0.2061976679023175,-0.0014657977424673918,0.2459977782505105,-0.5092974669095247,0.07094301400018843,0.011559674473122351,-0.17711236487535545
corporate_bond_spread,-0.01201482384920878,-0.018676480602999906,-0.0005980609256746376,0.00778729183151419,0.37242164227507407,0.38902955094015745,0.7731694913618492,0.29459594761906954,-0.591604537014096,-0.5025969697127914,0.4749026312135541,1.0,-0.41463218089412,-0.5583353245636155,0.7576140228356658,-0.6014710750575062,-0.30417274999378563,0.4712792751531616,-0.3728153901178267
inflation_rate,-0.04292363567614127,-0.03269678174996653,-0.004946545721843315,-0.02020106125518973,-0.13584546034468561,-0.149815897218458,-0.12424745711806175,-0.20418910355671413,0.25608078521111877,0.24200542294335925,-0.2061976679023175,-0.41463218089412,1.0,0.16427276927025014,-0.16748682696918277,-0.030987273871193936,0.1173438215505111,-0.12165270203754014,0.7256584758033255
equity_return,0.06957113076813017,0.022190169246794376,0.010937824627026037,0.02323442078626659,-0.11347171108448063,-0.09615956858207624,-0.5189230952850499,0.0039221344258514495,0.3718280496361543,0.08939242744404165,-0.0014657977424673918,-0.5583353245636155,0.16427276927025014,1.0,-0.41998496198602764,0.21161594971295083,0.4590036516755093,-0.2803854275657899,0.2396224588254411
equity_volatility,-0.031595978459100796,-0.021571667045029778,0.007005156505218006,0.017743861281629334,0.217322277466637,0.41908912836503803,0.7491368453938412,0.13724320383556396,-0.44916075869394395,-0.35861185491319364,0.2459977782505105,0.7576140228356658,-0.16748682696918277,-0.41998496198602764,0.9999999999999998,-0.5512801229407457,-0.36021381785298706,0.6616335654388182,-0.18708152867579708
consumer_sentiment,0.0052663759627982944,0.06118438766121201,-0.002378576015145564,-0.0026040809018574684,-0.37171326597785537,-0.5277862508928046,-0.556899950998571,-0.2885603033535851,0.5479508597745348,0.39569841740971173,-0.5092974669095247,-0.6014710750575062,-0.030987273871193936,0.21161594971295083,-0.5512801229407457,1.0000000000000002,0.28722069965591446,-0.29862389023237507,0.049193373222219526
