purpose,cells,as_of,moratorium,sample,formula,distribution,likelihood,minutes,evaluations,cached
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + cltv_drift + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + unemp_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + nfci_lagged + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + rate_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + hpi_growth + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + policy_rate_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + term_spread + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + inflation + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + equity_return + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + vix + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + sentiment + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + starts_growth + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + vix_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + inflation_gap + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(has_mi, Treatment('N'))",weibull,interval_censored,0.0,,True
selection,cells_exclude.parquet:280416349:1789390447426540483,2024-12,exclude,training half,"fico_s + orig_ltv + dti + term_years + C(purpose, Treatment('purchase')) + C(occupancy, Treatment('owner_occupied')) + C(first_time_buyer, Treatment('N'))",weibull,interval_censored,0.0,,True
